name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kollam,2000-01-01,31.7,22.9,27.6,37.6,22.9,29.5,22.1,73.0,0.0,0,0.0,,,,,11.2,267.6,1009.2,39.1,7.1,,,,,2000-01-01T06:38:25,2000-01-01T18:15:15,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43371099999,43372099999"
kollam,2000-01-02,31.9,23.7,27.7,35.0,23.7,29.2,21.8,72.0,0.0,0,0.0,,,,,14.8,297.9,1009.7,44.4,6.4,,,,,2000-01-02T06:38:50,2000-01-02T18:15:47,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43371099999,43372099999"
kollam,2000-01-03,31.2,23.4,27.4,36.1,23.4,29.5,22.5,75.4,0.0,0,0.0,,,,,11.2,312.1,1008.6,66.8,5.5,,,,,2000-01-03T06:39:14,2000-01-03T18:16:19,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43371099999,43372099999"
kollam,2000-01-04,32.1,24.7,28.2,37.4,24.7,30.6,22.8,73.4,0.0,0,0.0,,,,,11.2,240.4,1008.5,55.0,6.5,,,,,2000-01-04T06:39:38,2000-01-04T18:16:50,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43371099999,43372099999"
kollam,2000-01-05,31.6,24.6,28.4,36.7,24.6,31.7,23.7,76.6,0.0,0,0.0,,,,,10.3,226.8,1007.8,55.9,5.5,,,,,2000-01-05T06:40:01,2000-01-05T18:17:22,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43371099999,43372099999"
kollam,2000-01-06,32.1,26.1,29.2,39.3,26.1,33.0,23.8,73.2,0.241,100,4.17,rain,,,,8.4,257.7,1008.4,74.0,7.1,,,,,2000-01-06T06:40:23,2000-01-06T18:17:54,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43371099999,43372099999"
kollam,2000-01-07,31.5,24.7,28.2,35.9,24.7,30.8,22.1,69.9,0.0,0,0.0,,,,,13.0,301.9,1008.3,49.4,7.0,,,,,2000-01-07T06:40:44,2000-01-07T18:18:25,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43371099999,43372099999"
kollam,2000-01-08,33.2,25.1,28.8,38.4,25.1,31.7,22.6,69.8,0.7,100,4.17,rain,,,,14.8,261.2,1008.1,72.0,7.4,,,,,2000-01-08T06:41:05,2000-01-08T18:18:57,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43371099999,43372099999"
kollam,2000-01-09,30.7,24.4,27.6,34.4,24.4,30.0,23.3,78.4,1.0,100,8.33,rain,,,,14.8,252.6,1007.9,75.0,7.1,,,,,2000-01-09T06:41:25,2000-01-09T18:19:28,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43371099999,43372099999"
kollam,2000-01-10,31.1,24.9,27.4,36.3,24.9,29.8,23.8,81.3,0.5,100,4.17,rain,,,,13.0,286.6,1008.1,60.3,5.9,,,,,2000-01-10T06:41:44,2000-01-10T18:19:59,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43371099999,43372099999"
kollam,2000-01-11,31.7,24.2,26.8,35.2,24.2,28.2,23.2,81.8,1.3,100,12.5,rain,,,,7.6,21.8,1008.7,66.0,6.0,,,,,2000-01-11T06:42:02,2000-01-11T18:20:30,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"43371099999,43372099999"
kollam,2000-01-12,32.7,24.1,28.3,36.7,24.1,31.0,23.2,75.3,0.6,100,8.33,rain,,,,14.8,235.5,1008.9,47.9,8.1,,,,,2000-01-12T06:42:19,2000-01-12T18:21:00,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43371099999,43372099999"
kollam,2000-01-13,30.1,23.9,27.0,35.2,23.9,29.2,23.7,82.8,0.0,0,0.0,,,,,13.0,254.4,1009.4,66.9,6.8,,,,,2000-01-13T06:42:36,2000-01-13T18:21:30,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43371099999,43372099999"
